scope,pair,yf_pf,pf,total_pnl,max_dd,worst_event,n_tp,n_fstop,n_b48,from,to,bars
2yr_dukas,GBPJPY,1.96,1.2075,2256180.0,5168946.0,-1623600.0,292,7,0,2024-04-25,2026-04-24,12446
2yr_dukas,CHFJPY,1.51,0.8874,-868164.0,2650079.0,-1531600.0,251,1,14,2024-04-25,2026-04-24,12434
2yr_dukas,NZDJPY,2.36,1.1991,1281214.0,2509982.0,-1062900.0,312,4,3,2024-04-25,2026-04-24,12420
2yr_dukas,AUDCAD,4.01,1.8205,1871601.0,888956.0,-779436.0,335,1,3,2024-04-25,2026-04-24,12412
FULL,GBPJPY,,0.8073,-11547299.0,17859067.0,-2750400.0,1230,37,0,2015-06-10,2026-06-05,68499
2015,GBPJPY,,0.6432,-1112954.0,1707232.0,-1574700.0,47,2,0,2015-06-10,2015-12-31,3496
2016,GBPJPY,,0.5683,-1860289.0,2966689.0,-2750400.0,43,2,0,2016-01-03,2016-12-30,6238
2017,GBPJPY,,0.9577,-269500.0,2254811.0,-1666600.0,164,4,0,2017-01-01,2017-12-29,6223
2018,GBPJPY,,0.6481,-2738796.0,2946621.0,-1649500.0,136,5,0,2018-01-01,2018-12-31,6226
2019,GBPJPY,,1.5506,837621.0,1521300.0,-1521300.0,88,1,0,2019-01-01,2019-12-31,6226
2020,GBPJPY,,2.2281,2023739.0,1647800.0,-1647800.0,115,1,0,2020-01-01,2020-12-31,6250
2021,GBPJPY,,0.307,-4463043.0,4694268.0,-1750200.0,71,4,0,2021-01-03,2021-12-31,6240
2022,GBPJPY,,0.8329,-510429.0,2041693.0,-1532200.0,59,2,0,2022-01-02,2022-12-30,6240
2023,GBPJPY,,0.606,-3960493.0,4578846.0,-1856100.0,132,6,0,2023-01-01,2023-12-29,6223
2024,GBPJPY,,1.1577,737072.0,2458104.0,-1620400.0,124,3,0,2024-01-01,2024-12-31,6249
2025,GBPJPY,,1.4126,2555164.0,3192896.0,-1623600.0,192,4,0,2025-01-01,2025-12-31,6225
2026,GBPJPY,,inf,1427454.0,0.0,0.0,41,0,0,2026-01-01,2026-06-05,2663
FULL,CHFJPY,,0.9454,-1320557.0,2776471.0,-1531600.0,1219,2,70,2015-06-10,2026-06-05,68471
2015,CHFJPY,,0.4696,-232243.0,437900.0,-437900.0,11,0,1,2015-06-10,2015-12-31,3495
2016,CHFJPY,,0.7442,-480400.0,865500.0,-865500.0,83,0,5,2016-01-03,2016-12-30,6238
2017,CHFJPY,,1.0769,93021.0,394300.0,-394300.0,95,0,5,2017-01-01,2017-12-29,6223
2018,CHFJPY,,1.055,24379.0,307700.0,-307700.0,32,0,2,2018-01-01,2018-12-31,6226
2019,CHFJPY,,0.8853,-212914.0,551850.0,-512900.0,148,0,10,2019-01-01,2019-12-31,6227
2020,CHFJPY,,2.2389,977157.0,647671.0,-674100.0,82,0,2,2020-01-01,2020-12-31,6250
2021,CHFJPY,,1.1096,292729.0,900043.0,-878900.0,212,0,12,2021-01-03,2021-12-31,6240
2022,CHFJPY,,0.6324,-1224414.0,2524164.0,-1522100.0,107,1,6,2022-01-02,2022-12-30,6237
2023,CHFJPY,,1.4317,314029.0,671329.0,-398700.0,43,0,2,2023-01-02,2023-12-29,6211
2024,CHFJPY,,1.0277,108457.0,1120129.0,-817100.0,169,0,11,2024-01-01,2024-12-31,6248
2025,CHFJPY,,0.9871,-59321.0,1464557.0,-1180300.0,161,0,10,2025-01-01,2025-12-31,6215
2026,CHFJPY,,1.7762,84764.0,109200.0,-109200.0,8,0,1,2026-01-01,2026-06-05,2661
FULL,NZDJPY,,1.0998,2841093.0,3733907.0,-1195000.0,1324,24,5,2015-06-10,2026-06-05,68460
2015,NZDJPY,,1.2297,500039.0,1089900.0,-1089900.0,87,2,0,2015-06-10,2015-12-31,3495
2016,NZDJPY,,1.5876,1270879.0,1107671.0,-1142600.0,113,2,0,2016-01-03,2016-12-30,6243
2017,NZDJPY,,1.8122,864607.0,1064500.0,-1064500.0,92,1,0,2017-01-01,2017-12-29,6223
2018,NZDJPY,,0.4266,-1795000.0,2468671.0,-1075800.0,66,3,0,2018-01-01,2018-12-31,6226
2019,NZDJPY,,1.0783,154164.0,1019100.0,-1019100.0,123,1,2,2019-01-01,2019-12-31,6226
2020,NZDJPY,,1.3367,718957.0,1424318.0,-1083200.0,154,2,0,2020-01-01,2020-12-31,6250
2021,NZDJPY,,0.9124,-184075.0,1512411.0,-1065800.0,94,2,0,2021-01-03,2021-12-31,6240
2022,NZDJPY,,2.5097,1804143.0,1163307.0,-1195000.0,97,1,0,2022-01-02,2022-12-30,6238
2023,NZDJPY,,1.0422,86593.0,1093586.0,-1045800.0,92,2,0,2023-01-02,2023-12-29,6214
2024,NZDJPY,,1.1204,474150.0,1821629.0,-1046400.0,180,3,1,2024-01-01,2024-12-31,6218
2025,NZDJPY,,0.7709,-672346.0,1861493.0,-1062900.0,99,2,1,2025-01-01,2025-12-31,6224
2026,NZDJPY,,1.3785,598143.0,1010900.0,-1010900.0,86,1,1,2026-01-01,2026-06-05,2663
FULL,AUDCAD,,1.3463,4834234.0,1698030.0,-824688.0,1282,10,15,2015-06-10,2026-06-05,68464
2015,AUDCAD,,0.5228,-224810.0,451795.0,-471096.0,13,0,1,2015-06-10,2015-12-31,3501
2016,AUDCAD,,1.3156,720568.0,877693.0,-774576.0,157,3,0,2016-01-03,2016-12-30,6244
2017,AUDCAD,,1.8017,611511.0,747607.0,-762804.0,96,1,0,2017-01-01,2017-12-29,6223
2018,AUDCAD,,0.3794,-473210.0,762480.0,-762480.0,20,1,0,2018-01-01,2018-12-31,6225
2019,AUDCAD,,2.2992,918617.0,431460.0,-431460.0,124,0,2,2019-01-01,2019-12-31,6226
2020,AUDCAD,,1.4542,648802.0,435888.0,-435888.0,131,0,4,2020-01-01,2020-12-31,6250
2021,AUDCAD,,1.9312,813595.0,596268.0,-596268.0,132,0,2,2021-01-03,2021-12-31,6240
2022,AUDCAD,,1.3096,504507.0,809861.0,-824688.0,125,2,0,2022-01-02,2022-12-30,6238
2023,AUDCAD,,1.6365,482984.0,758808.0,-758808.0,77,1,0,2023-01-01,2023-12-29,6221
2024,AUDCAD,,3.3996,1200698.0,500364.0,-500364.0,154,0,1,2024-01-01,2024-12-31,6209
2025,AUDCAD,,1.565,749721.0,570240.0,-570240.0,162,0,3,2025-01-01,2025-12-31,6224
2026,AUDCAD,,0.5775,-517181.0,977901.0,-779436.0,46,1,1,2026-01-01,2026-06-05,2663
